# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
261632 127.75 0.127785512645559
262144 128 0.127757467469474
262656 128.25 0.127729729524112
263168 128.5 0.127702291779637
263680 128.75 0.127675160033621
264192 129 0.127648356766946
264704 129.25 0.12762191049235
265216 129.5 0.127595837821898
265728 129.75 0.127570134497899
266240 130 0.127544785305381
266752 130.25 0.127519784888514
267264 130.5 0.127495150107157
267776 130.75 0.127470912268652
268288 131 0.127447097033732
268800 131.25 0.127423711265601
269312 131.5 0.127400748036338
269824 131.75 0.127378202303179
270336 132 0.127356080491144
270848 132.25 0.127334396663902
271360 132.5 0.127313163844684
271872 132.75 0.127292392046267
272384 133 0.127272092489978
272896 133.25 0.127252278087718
273408 133.5 0.127232956907443
273920 133.75 0.127214127829366
274432 134 0.127195786562244
274944 134.25 0.127177936126272
275456 134.5 0.127160589351017
275968 134.75 0.127143761645585
276480 135 0.127127464212046
276992 135.25 0.127111703991345
277504 135.5 0.12709648504509
278016 135.75 0.127081805950902
278528 136 0.127067658432832
279040 136.25 0.127054035076518
279552 136.5 0.12704094199832
280064 136.75 0.127028401965566
280576 137 0.127016440418265
281088 137.25 0.127005065113152
281600 137.5 0.126994259515388
282112 137.75 0.126983998803828
282624 138 0.126974274839066
283136 138.25 0.126965105902072
283648 138.5 0.126956521821262
284160 138.75 0.12694854039357
284672 139 0.126941157834237
285184 139.25 0.126934357963881
285696 139.5 0.126928126748291
286208 139.75 0.126922460779944
286720 140 0.126917369282687
287232 140.25 0.126912870784089
