# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
345088 168.5 0.188269722971859
345600 168.75 0.188269725361554
346112 169 0.188269727760537
346624 169.25 0.1882697301584
347136 169.5 0.188269732553909
347648 169.75 0.1882697349483
348160 170 0.188269737362034
348672 170.25 0.188269739789997
349184 170.5 0.188269742212313
349696 170.75 0.188269744636014
350208 171 0.188269747063885
350720 171.25 0.188269749481441
351232 171.5 0.188269751892251
351744 171.75 0.188269754274689
352256 172 0.18826975665609
352768 172.25 0.188269759047721
353280 172.5 0.18826976141326
353792 172.75 0.188269763785486
354304 173 0.188269766153783
354816 173.25 0.18826976854093
355328 173.5 0.188269770930797
355840 173.75 0.188269773335906
356352 174 0.188269775740477
356864 174.25 0.188269778134861
357376 174.5 0.188269780519027
357888 174.75 0.188269782916446
358400 175 0.188269785309766
358912 175.25 0.188269787719189
359424 175.5 0.188269790114082
359936 175.75 0.188269792511508
360448 176 0.188269794913674
360960 176.25 0.188269797305911
361472 176.5 0.188269799709422
361984 176.75 0.188269802123977
362496 177 0.188269804530575
363008 177.25 0.188269806937934
363520 177.5 0.18826980934657
364032 177.75 0.18826981176824
364544 178 0.18826981419165
365056 178.25 0.188269816623033
365568 178.5 0.188269819056769
366080 178.75 0.188269821496087
366592 179 0.188269823948017
367104 179.25 0.188269826381534
367616 179.5 0.188269828817265
368128 179.75 0.188269831251174
368640 180 0.188269833681305
369152 180.25 0.188269836100531
369664 180.5 0.188269838514299
370176 180.75 0.188269840939938
370688 181 0.1882698433755
371200 181.25 0.188269845803089
371712 181.5 0.188269848219633
372224 181.75 0.188269850637367
372736 182 0.188269853068393
373248 182.25 0.188269855515268
373760 182.5 0.188269857954599
374272 182.75 0.188269860384507
374784 183 0.188269862809985
375296 183.25 0.188269865250369
375808 183.5 0.188269867694885
376320 183.75 0.188269870143815
376832 184 0.188269872597321
377344 184.25 0.188269875062198
377856 184.5 0.188269877538155
378368 184.75 0.188269880035084
378880 185 0.188269882530438
379392 185.25 0.188269885037115
379904 185.5 0.18826988753447
380416 185.75 0.188269890029035
380928 186 0.188269892524613
381440 186.25 0.188269895021466
381952 186.5 0.188269897507171
382464 186.75 0.18826989998188
382976 187 0.188269902457667
383488 187.25 0.1882699049286
384000 187.5 0.188269907381346
384512 187.75 0.188269909837307
385024 188 0.188269912306794
385536 188.25 0.188269914789434
386048 188.5 0.188269917273219
386560 188.75 0.18826991979267
387072 189 0.188269922316627
387584 189.25 0.188269924839373
388096 189.5 0.188269927358382
388608 189.75 0.188269929877593
389120 190 0.188269932408373
389632 190.25 0.188269934944589
390144 190.5 0.188269937472633
390656 190.75 0.188269939997842
391168 191 0.188269942501446
391680 191.25 0.188269945007034
392192 191.5 0.188269947514512
392704 191.75 0.188269950029053
393216 192 0.188269952561434
393728 192.25 0.188269955087691
394240 192.5 0.188269957634342
394752 192.75 0.188269960165029
395264 193 0.188269962702176
395776 193.25 0.188269965265167
396288 193.5 0.188269967822869
396800 193.75 0.188269970382146
397312 194 0.188269972920946
397824 194.25 0.188269975468046
398336 194.5 0.188269978020044
398848 194.75 0.18826998055756
399360 195 0.188269983096776
399872 195.25 0.188269985634789
400384 195.5 0.188269988170551
400896 195.75 0.188269990700646
401408 196 0.188269993209551
401920 196.25 0.188269995714687
402432 196.5 0.18826999821323
402944 196.75 0.18827000070754
403456 197 0.188270003209064
403968 197.25 0.188270005695573
404480 197.5 0.188270008187411
404992 197.75 0.188270010675807
405504 198 0.18827001317995
406016 198.25 0.188270015698037
406528 198.5 0.188270018204702
407040 198.75 0.188270020732887
407552 199 0.188270023277262
408064 199.25 0.188270025815979
408576 199.5 0.188270028360153
409088 199.75 0.188270030910686
409600 200 0.188270033456828
410112 200.25 0.188270036002784
410624 200.5 0.188270038541743
411136 200.75 0.188270041085598
411648 201 0.188270043623161
412160 201.25 0.188270046156913
412672 201.5 0.188270048714264
413184 201.75 0.188270051276883
413696 202 0.188270053838723
414208 202.25 0.188270056391915
414720 202.5 0.188270058946285
415232 202.75 0.188270061500973
415744 203 0.18827006404482
416256 203.25 0.188270066594471
416768 203.5 0.188270069119767
417280 203.75 0.18827007163974
417792 204 0.188270074183542
418304 204.25 0.188270076730475
418816 204.5 0.188270079268318
419328 204.75 0.188270081822564
419840 205 0.188270084372663
420352 205.25 0.188270086945224
420864 205.5 0.188270089511394
421376 205.75 0.188270092068302
421888 206 0.188270094625687
422400 206.25 0.188270097176721
422912 206.5 0.188270099740593
423424 206.75 0.188270102291988
423936 207 0.188270104856851
424448 207.25 0.188270107409943
