# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
93696 91.5 -4.79045923750284e-07 -4.79045923893501e-07 -4.79045923865191e-07
94208 92 -4.76442716408105e-07 -4.76442716371598e-07 -4.76442716345361e-07
94720 92.5 -4.65397068289615e-07 -4.65397068159274e-07 -4.65397068154225e-07
95232 93 -4.61930283798007e-07 -4.61930283812723e-07 -4.61930283702509e-07
95744 93.5 -4.58613589652627e-07 -4.58613589732634e-07 -4.58613589630876e-07
96256 94 -4.73334613933403e-07 -4.73334614081344e-07 -4.73334614011242e-07
96768 94.5 -1.30321796931135e-06 -1.30321796939379e-06 -1.30321796915018e-06
97280 95 -5.18673384449978e-06 -5.18673384480978e-06 -5.18673384433415e-06
97792 95.5 -9.08617826251357e-06 -9.08617826284978e-06 -9.08617826271329e-06
98304 96 -1.26924463429628e-05 -1.26924463430212e-05 -1.26924463433199e-05
98816 96.5 -1.5894377039199e-05 -1.58943770388197e-05 -1.58943770392564e-05
99328 97 -1.89612588890292e-05 -1.89612588886382e-05 -1.8961258888867e-05
99840 97.5 -2.21686727776813e-05 -2.21686727778631e-05 -2.2168672777618e-05
100352 98 -2.54181943228822e-05 -2.54181943234183e-05 -2.54181943228639e-05
100864 98.5 -2.84070144768548e-05 -2.84070144768895e-05 -2.84070144767373e-05
101376 99 -3.105551686232e-05 -3.10555168617527e-05 -3.10555168623272e-05
101888 99.5 -3.35590233363267e-05 -3.35590233359795e-05 -3.35590233365877e-05
102400 100 -3.60680249749814e-05 -3.60680249752779e-05 -3.60680249751139e-05
102912 100.5 -3.85254645880681e-05 -3.85254645884847e-05 -3.85254645878474e-05
103424 101 -4.08343501495634e-05 -4.08343501496117e-05 -4.08343501494123e-05
103936 101.5 -4.30061331541788e-05 -4.30061331539761e-05 -4.30061331543402e-05
104448 102 -4.50786830792677e-05 -4.50786830790388e-05 -4.50786830793545e-05
104960 102.5 -4.70178147918319e-05 -4.70178147916874e-05 -4.70178147916376e-05
105472 103 -4.87870634562084e-05 -4.87870634563452e-05 -4.87870634561543e-05
105984 103.5 -5.04375391335845e-05 -5.04375391339241e-05 -5.0437539133966e-05
106496 104 -5.20445337363409e-05 -5.20445337363858e-05 -5.20445337367626e-05
107008 104.5 -5.35907735909498e-05 -5.35907735904872e-05 -5.35907735908163e-05
107520 105 -5.49801212509537e-05 -5.49801212505112e-05 -5.49801212502641e-05
108032 105.5 -5.6158534901215e-05 -5.61585349013574e-05 -5.61585349006496e-05
108544 106 -5.71765129183554e-05 -5.7176512918875e-05 -5.71765129185463e-05
109056 106.5 -5.82193204634387e-05 -5.8219320462919e-05 -5.8219320462481e-05
109568 107 -6.02277243181661e-05 -6.02277243174795e-05 -6.02277243175941e-05
110080 107.5 -6.2174991461676e-05 -6.21749914617734e-05 -6.21749914619421e-05
110592 108 -6.40024292017107e-05 -6.40024292024369e-05 -6.40024292023404e-05
111104 108.5 -6.5672428674202e-05 -6.56724286744552e-05 -6.56724286745148e-05
111616 109 -6.72219330232831e-05 -6.72219330227534e-05 -6.72219330231123e-05
112128 109.5 -6.86924842941649e-05 -6.86924842939139e-05 -6.86924842940124e-05
112640 110 -7.00588475764431e-05 -7.00588475768869e-05 -7.0058847576552e-05
113152 110.5 -7.12997424995457e-05 -7.12997424997022e-05 -7.12997424994609e-05
113664 111 -7.24949535967566e-05 -7.24949535962547e-05 -7.2494953596301e-05
114176 111.5 -7.37424316016618e-05 -7.37424316015541e-05 -7.37424316016051e-05
114688 112 -7.4984393140202e-05 -7.49843931408975e-05 -7.49843931409006e-05
115200 112.5 -7.60347988345208e-05 -7.60347988348468e-05 -7.60347988349558e-05
115712 113 -7.68238203491377e-05 -7.68238203484623e-05 -7.6823820348536e-05
116224 113.5 -7.75215080746084e-05 -7.75215080738673e-05 -7.75215080737745e-05
116736 114 -7.83415895574565e-05 -7.83415895575695e-05 -7.83415895574883e-05
117248 114.5 -7.92767054027421e-05 -7.92767054034916e-05 -7.9276705403415e-05
117760 115 -8.01194908506402e-05 -8.01194908512226e-05 -8.01194908509718e-05
118272 115.5 -8.07303001890972e-05 -8.07303001890468e-05 -8.07303001887699e-05
118784 116 -8.11884631064914e-05 -8.11884631060058e-05 -8.11884631061649e-05
119296 116.5 -8.16538578051967e-05 -8.16538578047824e-05 -8.16538578053391e-05
119808 117 -8.21632937165919e-05 -8.21632937165083e-05 -8.21632937167029e-05
120320 117.5 -8.26263611873361e-05 -8.26263611875072e-05 -8.26263611869824e-05
120832 118 -8.29739116822097e-05 -8.29739116824254e-05 -8.29739116819085e-05
121344 118.5 -8.32374309703684e-05 -8.32374309702863e-05 -8.32374309705396e-05
121856 119 -8.34911819788811e-05 -8.3491181978413e-05 -8.34911819789438e-05
122368 119.5 -8.3767175923164e-05 -8.37671759229022e-05 -8.37671759227841e-05
122880 120 -8.40297369165831e-05 -8.40297369170177e-05 -8.40297369165079e-05
123392 120.5 -8.42081418253733e-05 -8.42081418259802e-05 -8.42081418258784e-05
123904 121 -8.42629560523273e-05 -8.42629560523438e-05 -8.4262956052342e-05
124416 121.5 -8.42355007615637e-05 -8.42355007610924e-05 -8.42355007607131e-05
124928 122 -8.42080152536706e-05 -8.42080152531879e-05 -8.42080152533254e-05
125440 122.5 -8.42006431494645e-05 -8.42006431491496e-05 -8.42006431502589e-05
125952 123 -8.41492067376747e-05 -8.41492067376649e-05 -8.41492067380777e-05
126464 123.5 -8.40112176826156e-05 -8.40112176829607e-05 -8.4011217681733e-05
126976 124 -8.38393551753175e-05 -8.38393551755714e-05 -8.38393551746144e-05
127488 124.5 -8.36955866956808e-05 -8.36955866955182e-05 -8.36955866962955e-05
128000 125 -8.35380004010477e-05 -8.35380004008802e-05 -8.3538000401723e-05
128512 125.5 -8.32707020392379e-05 -8.3270702039413e-05 -8.32707020386997e-05
129024 126 -8.28854149079086e-05 -8.28854149079475e-05 -8.28854149070705e-05
129536 126.5 -8.24690521734098e-05 -8.24690521728114e-05 -8.24690521735384e-05
130048 127 -8.20695501326527e-05 -8.20695501319835e-05 -8.20695501332897e-05
130560 127.5 -8.16400321369247e-05 -8.16400321371042e-05 -8.16400321371681e-05
131072 128 -8.11376165556873e-05 -8.11376165564048e-05 -8.11376165556496e-05
131584 128.5 -8.05933052808221e-05 -8.0593305280867e-05 -8.05933052808076e-05
132096 129 -8.00392093746783e-05 -8.003920937395e-05 -8.00392093745798e-05
132608 129.5 -7.94387320988921e-05 -7.94387320987237e-05 -7.94387320988676e-05
133120 130 -7.87512561425643e-05 -7.87512561433832e-05 -7.87512561427961e-05
133632 130.5 -7.80130635807485e-05 -7.8013063581158e-05 -7.80130635806847e-05
134144 131 -7.72815880454282e-05 -7.72815880446954e-05 -7.72815880448513e-05
134656 131.5 -7.65293190963838e-05 -7.65293190956696e-05 -7.65293190961663e-05
135168 132 -7.56700810449588e-05 -7.5670081045138e-05 -7.5670081045445e-05
135680 132.5 -7.46904415219853e-05 -7.46904415224636e-05 -7.4690441522401e-05
136192 133 -7.36868193489013e-05 -7.36868193490022e-05 -7.36868193488708e-05
136704 133.5 -7.27443910894812e-05 -7.27443910892539e-05 -7.27443910893998e-05
137216 134 -7.18240587129999e-05 -7.18240587127573e-05 -7.18240587131407e-05
137728 134.5 -7.08115167762881e-05 -7.0811516776365e-05 -7.08115167765458e-05
138240 135 -6.96599348471067e-05 -6.96599348477216e-05 -6.96599348474194e-05
138752 135.5 -6.84405022273474e-05 -6.84405022278577e-05 -6.84405022274466e-05
139264 136 -6.72472475204974e-05 -6.72472475199315e-05 -6.72472475200093e-05
139776 136.5 -6.60883396659872e-05 -6.60883396647831e-05 -6.60883396654124e-05
140288 137 -6.48934746413669e-05 -6.48934746410146e-05 -6.48934746416437e-05
140800 137.5 -6.36060351213655e-05 -6.36060351221086e-05 -6.36060351221959e-05
141312 138 -6.22361440899762e-05 -6.22361440905186e-05 -6.2236144090202e-05
141824 138.5 -6.08267613465663e-05 -6.08267613462433e-05 -6.08267613461169e-05
142336 139 -5.93986237340525e-05 -5.93986237336432e-05 -5.93986237337948e-05
142848 139.5 -5.79437171267748e-05 -5.79437171268953e-05 -5.7943717127005e-05
143360 140 -5.64546325952047e-05 -5.64546325955249e-05 -5.64546325954709e-05
143872 140.5 -5.49332941767126e-05 -5.49332941767789e-05 -5.49332941766831e-05
144384 141 -5.33684856523816e-05 -5.33684856521341e-05 -5.33684856521921e-05
144896 141.5 -5.17317345290068e-05 -5.17317345287052e-05 -5.17317345287635e-05
145408 142 -5.00179596081341e-05 -5.00179596081293e-05 -5.00179596078223e-05
145920 142.5 -4.8273601953504e-05 -4.82736019538271e-05 -4.82736019534703e-05
146432 143 -4.65469021859828e-05 -4.6546902186231e-05 -4.65469021866051e-05
146944 143.5 -4.48094167195872e-05 -4.48094167195462e-05 -4.48094167203919e-05
147456 144 -4.29723307599612e-05 -4.29723307597964e-05 -4.29723307600095e-05
147968 144.5 -4.1005810196956e-05 -4.10058101968903e-05 -4.10058101961815e-05
148480 145 -3.90017071091833e-05 -3.90017071092452e-05 -3.90017071085499e-05
148992 145.5 -3.70663676150262e-05 -3.70663676151261e-05 -3.70663676152737e-05
149504 146 -3.51694010237643e-05 -3.51694010238494e-05 -3.51694010245428e-05
150016 146.5 -3.31685768536282e-05 -3.31685768536604e-05 -3.31685768541543e-05
150528 147 -3.1002509248736e-05 -3.10025092484601e-05 -3.10025092485725e-05
151040 147.5 -2.87861351003814e-05 -2.87861350998038e-05 -2.87861350997527e-05
151552 148 -2.66548792486333e-05 -2.66548792486387e-05 -2.66548792483863e-05
152064 148.5 -2.45670425700897e-05 -2.45670425711185e-05 -2.45670425706962e-05
